JGID,job-name,account-text,form,class,formdef,pagedef,page_count,sheet_count
5124020000,#7011969,TR05023590,,*,F1T192,P1T192,30,17
5124020001,#7016845,TR05021390,,*,F1T192,P1T192,394,199
5124020002,JK0239P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2,4
5124020003,JK0239P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,62,33
5124020004,JK0240P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,12,8
5124020005,JK0241P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2414,1209
5124020006,JK0243P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,4,4
5124020007,JK0243P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,60,32
5124020008,JK1206P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,44,24
5124020009,JK1207P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,24,14
5124020010,JK0257P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,19,21
5124020011,JK0339P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,416,210
5124020012,JK0339P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,34,19
5124020013,JK0368P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,106,55
5124020014,JK0374P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,24,26
5124020015,JK0417P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,3,5
5124020016,JK0414P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,1580,792
5124020017,#8552393,TR05011790,ZY92,C,F1Q50010,P10037,167,169
5124020018,JK0367P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2082,1043
5124020019,JK0367P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,14128,7066
5124020020,JK0612P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,60,32
5124020021,JK0612P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,48,26
5124020022,#7016845,TR05021390,,*,F1T192,P1T192,3242,1623
5124020023,AD36455P,A261390202,STD,P,F1@DFLT,P1@DFLT,1,3
5124020024,AD36455P,A261390202,ACHX,O,F1BWISM,P1BWISM,931,933
5124020025,AD36640P,A261390202,FAN0,O,DUMMY,P1@DFLT,65,34
5124020026,AD36645P,A261390202,STD,O,F1A00010,P1@DFLT,523,525
5124020027,CN2000A_Combined_SF1,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,2374,1189
5124020028,CN2100A_Combined_SF1,CF6BECCCDF,ZY81,P,F1#PZERO,*INLINE-pdf*,428,216
5124020029,CN2200A_Combined_SF1,CF6BECCCDF,ZY81,P,F1#PZERO,*INLINE-pdf*,36,20
5124020030,CN2200B_Combined_LF1,CF6BECCCDF,ZY50,P,F1#PZERO,*INLINE-pdf*,40,22
5124020031,CN2200B_Combined_SF1,CF6BECCCDF,ZY50,P,F1#PZERO,*INLINE-pdf*,344,174
5124020032,CN4000A_Combined_SF1,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,40,22
5124020033,KDDPCW01,D7C4810001,STD,P,F1K00860,P1K00860,74,76
5124020034,PWCCNP90,D7C6390001,STD,P,F1JSCARE,P1JSCARE,10,7
5124020035,PWCCNP8S,D7C6390001,STD,P,F1CARES0,P1CARES0,972,488
5124020036,UCT-4973-E_8861284_39ce7396-a231-4bdf-abf6-cce28e0a5bec,DITS\#\#\#\#\#\#,ZY81,L,F1#PZERO,*INLINE-pdf*,4008,2006
5124020037,UCT-4973-E_8861285_4cf305b3-f59a-4e70-a1ce-f96056965813,DITS\#\#\#\#\#\#,ZY81,L,F1#PZERO,*INLINE-pdf*,1322,663
5124020038,CN1110A,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,70,37
5124020039,CN1110B,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,60,32
5124020040,CN1110C,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,54,29
5124020041,CN1110D,D7C6390001,ZY81,P,F1#PZERO,*INLINE-pdf*,62,33
