

                                          Current Status of Mail Jobs Processed
                                                                               Mail      Mail     Mail      Print    Print
     Jobname          GlobalID   MSO            MSO Information               Pieces     Date     Time      Date     Time
-------------------- ---------- ------- ----------------------------------  --------- ---------- -------- --------  --------






 


                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------

 06/25/2015   07:14:29   06/25/2015    07:32:37         2496       1249   PRT78  CN1100A_Combined_SF1   infosele      ZY81  5124033632
 06/25/2015   07:20:59   06/25/2015    07:41:37         2888       1445   PRT72  CN1100B_Combined_SF1   infosele      ZY81  5124033635
 06/25/2015   07:33:19   06/25/2015    07:53:22         2836       1419   PRT78  CN1100C_Combined_SF1   infosele      ZY81  5124033657
 06/25/2015   08:02:54   06/25/2015    08:03:33          180         90   PRT70  CN7100A_Combined_SF1   infosele      ZY81  5124033599
 06/25/2015   08:02:56   06/25/2015    08:06:20         3400       1702   PRT70  CN7500A_Combined_LF1   infosele      ZY81  5124033734
 06/25/2015   07:47:00   06/25/2015    08:07:39         2932       1467   PRT72  CN1100D_Combined_SF1   infosele      ZY81  5124033661
 06/25/2015   08:05:24   06/25/2015    08:14:30         9994       4998   PRT70  CN7500A_Combined_SF1   infosele      ZY81  5124033735
 06/25/2015   08:13:40   06/25/2015    08:15:48          252        127   PRT72  MV_09232_PDOA_MDOA_P   infosele      ZY19  5124033761
 06/25/2015   07:54:49   06/25/2015    08:16:21         2974       1488   PRT78  CN1100E_Combined_SF1   infosele      ZY81  5124033676
 06/25/2015   08:13:29   06/25/2015    08:22:39         9996       4998   PRT70  CN7500A_Combined_SF2   infosele      ZY81  5124033736
 06/25/2015   08:21:39   06/25/2015    08:30:50        10002       5002   PRT70  CN7500A_Combined_SF3   infosele      ZY81  5124033737
 06/25/2015   08:29:25   06/25/2015    08:32:37          306        153   PRT72              AD32866P   JOB28078      RCHX  5124033762
 06/25/2015   08:29:52   06/25/2015    08:32:37         2088       1046   PRT70  CN7500A_Combined_SF4   infosele      ZY81  5124033738
 06/25/2015   08:31:37   06/25/2015    08:34:52         2752       1376   PRT70  CN1100F_Combined_SF1   infosele      ZY81  5124033585
 06/25/2015   08:33:43   06/25/2015    08:37:09         2812       1408   PRT70  CN1100G_Combined_SF1   infosele      ZY81  5124033588
 06/25/2015   08:36:01   06/25/2015    08:39:32         2898       1450   PRT70  CN1100H_Combined_SF1   infosele      ZY81  5124033609
 06/25/2015   08:38:25   06/25/2015    08:41:50         2820       1410   PRT70  CN1100I_Combined_SF1   infosele      ZY81  5124033611
 06/25/2015   08:40:41   06/25/2015    08:45:10         3148       1576   PRT70  CN1100J_Combined_SF1   infosele      ZY81  5124033642
 06/25/2015   08:52:05   06/25/2015    08:53:28          132        131   PRT72              AD32867A   JOB29811      ACHX  5124033763
 06/25/2015   09:20:22   06/25/2015    09:20:49           12         12   PRT72              AD32860J   JOB30533      ACHX  5124033765
 06/25/2015   09:24:50   06/25/2015    09:46:45         2609       2609   PRT72              AD32873J   JOB30970      ACHX  5124033767
