JOB NAME,GLOBAL ID,PRINTER NAME,FORM NAME,START DATE,START TIME,END DATE,END TIME,PAGES PRINTED,SHEETS PRINTED,REASON
DC01757J,4414003712,PRT78,ZY80,08/02/2015,23:05:38,08/02/2015,23:05:40,225,114,
DC01757J,4414003713,PRT78,ZY80,08/02/2015,23:05:45,08/02/2015,23:05:47,225,114,
KDDPCW01,4414003694,PRT73,ZY81,08/02/2015,23:05:47,08/02/2015,23:05:48,146,146,
DC01757J,4414003714,PRT78,ZY80,08/02/2015,23:08:05,08/02/2015,23:08:17,225,114,
KDWPC755,4414003685,PRT73,ZY81,08/02/2015,23:05:54,08/02/2015,23:08:28,532,267,
DCPAY50J,4414003695,PRT78,ZY80,08/02/2015,23:09:40,08/02/2015,23:09:41,55,29,
KDMWC574,4414003429,PRT70,ZY34,08/02/2015,04:29:08,08/02/2015,23:09:46,57650,28826,JOB STARTED BEFORE SHIFT - MULTIPLE ENTRIES
DCPAY51J,4414003696,PRT78,ZY80,08/02/2015,23:10:03,08/02/2015,23:10:04,35,19,
Blank_Large_Job,2942506699,PRT70,BlankJob,08/02/2015,23:11:32,08/02/2015,23:11:33,200,200,MULTIPLE ENTRIES
JE1064P2,4414003700,PRT73,ZY81,08/02/2015,23:14:34,08/02/2015,23:14:35,16,10,
JE1064P3,4414003701,PRT73,ZY81,08/02/2015,23:14:36,08/02/2015,23:14:36,5,5,
JE1064P4,4414003702,PRT73,ZY81,08/02/2015,23:14:38,08/02/2015,23:14:38,5,5,
JE1064P5,4414003703,PRT73,ZY81,08/02/2015,23:14:40,08/02/2015,23:14:40,5,5,
JE1065P1,4414003715,PRT73,ZY81,08/02/2015,23:14:42,08/02/2015,23:14:42,3,3,
JE1080P1,4414003721,PRT78,ZY80,08/02/2015,23:14:42,08/02/2015,23:14:43,4,4,
JE1083P1,4414003718,PRT78,ZY80,08/02/2015,23:14:43,08/02/2015,23:14:43,6,6,
JE1094P1,4414003726,PRT73,ZY81,08/02/2015,23:14:44,08/02/2015,23:14:44,5,5,
JE1088P2,4414003710,PRT78,ZY80,08/02/2015,23:14:45,08/02/2015,23:14:45,30,18,
JE1094P2,4414003725,PRT73,ZY81,08/02/2015,23:14:46,08/02/2015,23:14:46,5,5,
JE1095P1,4414003708,PRT78,ZY80,08/02/2015,23:14:47,08/02/2015,23:14:47,18,18,
JE1094P3,4414003728,PRT73,ZY81,08/02/2015,23:14:48,08/02/2015,23:14:48,8,6,
JE1095P2,4414003705,PRT78,ZY80,08/02/2015,23:14:49,08/02/2015,23:14:49,4,4,
JE1094P4,4414003727,PRT73,ZY81,08/02/2015,23:14:50,08/02/2015,23:14:50,4,4,
JE1095P3,4414003706,PRT78,ZY80,08/02/2015,23:14:51,08/02/2015,23:14:51,10,10,
JE1127P1,4414003711,PRT78,ZY80,08/02/2015,23:14:54,08/02/2015,23:14:54,12,12,
JE1095P4,4414003707,PRT73,ZY81,08/02/2015,23:15:03,08/02/2015,23:15:04,4,4,
JE1124P1,4414003692,PRT73,ZY81,08/02/2015,23:15:04,08/02/2015,23:15:04,26,26,
JE1136P3,4414003722,PRT73,ZY81,08/02/2015,23:15:07,08/02/2015,23:15:07,18,10,
JE1156P1,4414003731,PRT73,ZY81,08/02/2015,23:15:10,08/02/2015,23:15:10,10,7,
JK0236P2,4414003699,PRT73,ZY81,08/02/2015,23:15:12,08/02/2015,23:15:12,5,5,
