                                         Current Status of Jobs Waiting or Are Printing

                                           Current        Job      Current Page    Pages        Submission           Started
     Jobname            JobID    Form     Job State    Page Count    Printing     Complete         Time              Printing
--------------------  --------- ------- -------------  ----------  ------------- -----------  -----------------  ------------------

Blank_Large_Job       infosele  BlankJo    held               500                             00:14:40 06/25/15
Blank_Large_Job       infosele  BlankJo    held               110                             09:39:00 06/27/15





 

                                          Current Status of Mail Jobs Processed
                                                                               Mail      Mail     Mail      Print    Print
     Jobname          GlobalID   MSO            MSO Information               Pieces     Date     Time      Date     Time
-------------------- ---------- ------- ----------------------------------  --------- ---------- -------- --------  --------






 

                                         Report of Latest Completed Jobs

   Start        Start       End         End          Pages     Sheets
   Date         Time        Date        Time        Printed    Printed   Printer       JobName           JOBID      Form     GlobalID
 ----------  ----------  ----------   ----------   ---------- ----------  -----  --------------------   --------  --------  ----------

 06/29/2015   08:06:31   06/29/2015    08:08:46            7          7   PRT73               #@@D7WD   JOB60887      ZY81  5124034858
 06/29/2015   08:06:33   06/29/2015    08:09:02           30         16   PRT73               #@@D7WD   JOB60887      ZY81  5124034859
 06/29/2015   08:08:09   06/29/2015    08:09:07           12          7   PRT73               #@@D7WD   JOB60893      ZY81  5124034860
 06/29/2015   08:33:10   06/29/2015    08:34:41          103         28   PRT71              #8552066   JOB60914      T050  5124034857
 06/29/2015   06:56:05   06/29/2015    08:47:29        12722      12721   PRT78              #8552524   JOB32498      T055  5124034752
 06/29/2015   08:47:18   06/29/2015    08:48:57           16         15   PRT72              AD32860A   JOB61586      ACHX  5124034865
 06/29/2015   08:49:54   06/29/2015    08:50:16            3          3   PRT78              #8552524   JOB32498      T055  5124034752
 06/29/2015   08:47:06   06/29/2015    08:50:30          434        218   PRT73               #@@D7WC   JOB61437      ZY81  5124034862
 06/29/2015   08:51:59   06/29/2015    08:59:11          756        756   PRT72              AD32867A   JOB61667      ACHX  5124034866
 06/29/2015   09:37:12   06/29/2015    09:38:00           58         58   PRT72              AD32860J   JOB62706      ACHX  5124034868
 06/29/2015   09:27:22   06/29/2015    09:40:40         1050        699   PRT78              DODSTH00   infosele      ZZ03  5124034863
 06/29/2015   09:45:07   06/29/2015    09:45:31            3          3   PRT73              AD32860M   JOB63196      ZY81  5124034869
 06/29/2015   09:45:09   06/29/2015    09:45:31            3          3   PRT73              AD32860M   JOB63196      ZY81  5124034870
 06/29/2015   09:54:40   06/29/2015    09:55:01            4          4   PRT73              AD32867R   JOB63854      ZY81  5124034874
 06/29/2015   09:55:15   06/29/2015    09:55:44           17          9   PRT78              PW83239J   JOB63407      ZY80  5124034871
 06/29/2015   09:55:17   06/29/2015    09:55:49            9          6   PRT78              PW83449J   JOB63409      ZY80  5124034872
 06/29/2015   09:48:36   06/29/2015    09:57:15          818        818   PRT72              AD32860M   JOB63196      ACHX  5124034873
 06/29/2015   10:01:01   06/29/2015    10:37:36         4590       2295   PRT72              AD32867R   JOB63854      RCHX  5124034875
 06/29/2015   10:41:34   06/29/2015    10:45:57          223        222   PRT72              AD32860A   JOB64717      ACHX  5124034876
 06/29/2015   11:04:26   06/29/2015    11:05:59           50         26   PRT73              JK0612P2    prd1ips      ZY81  5124034878
 06/29/2015   11:04:29   06/29/2015    11:06:30           58         30   PRT73              JK0612P1    prd1ips      ZY81  5124034879
 06/29/2015   12:02:11   06/29/2015    12:02:35            3          3   PRT73               DNRP690   infosele      ZY81  5124034891
 06/29/2015   12:02:12   06/29/2015    12:02:40           18         18   PRT73               DNRP589   infosele      ZY81  5124034892
 06/29/2015   12:02:26   06/29/2015    12:03:04           58         58   PRT73               DNRP619   infosele      ZY81  5124034881
 06/29/2015   12:02:48   06/29/2015    12:03:09           13         13   PRT73               DNRP595   infosele      ZY81  5124034883
 06/29/2015   12:05:17   06/29/2015    12:06:17           35         35   PRT75              DNRP598Y   infosele     N598Y  5124034888
 06/29/2015   12:07:47   06/29/2015    12:08:21          104         14   PRT72               DNRP331   infosele      ZY65  5124034889
 06/29/2015   12:07:48   06/29/2015    12:08:26           36          7   PRT72               DNRP330   infosele      ZY65  5124034890
 06/29/2015   12:08:01   06/29/2015    12:08:38            4          4   PRT75              DNRP598G   infosele     N598G  5124034885
 06/29/2015   12:09:54   06/29/2015    12:11:04           81         81   PRT75              DNRP598R   infosele     N598R  5124034887
 06/29/2015   12:06:47   06/29/2015    12:11:36          248        248   PRT78               DNRP518   infosele      N518  5124034880
 06/29/2015   12:09:02   06/29/2015    12:11:36            4          4   PRT78               DNRP518   infosele      N518  5124034882
 06/29/2015   12:12:30   06/29/2015    12:15:00          177        177   PRT75              DNRP598B   infosele     N598B  5124034884
 06/29/2015   12:20:45   06/29/2015    12:50:01         2244       2244   PRT75              DNRP598O   infosele     N598O  5124034886
 06/29/2015   13:36:14   06/29/2015    13:45:54           32         32   PRT71              FIN039KW   JOB04578     ZY200  5124034893
 06/29/2015   13:48:07   06/29/2015    13:51:35           78         40   PRT73              KDWS417A   JOB04988  ZY81TEST  5124034894
 06/29/2015   13:50:23   06/29/2015    13:52:00           68         35   PRT73              KDWS417E   JOB05014  ZY81TEST  5124034895
 06/29/2015   13:50:27   06/29/2015    13:52:20           36         19   PRT73              KDWS417F   JOB05051  ZY81TEST  5124034896
