JGID,job-name,account-text,form,class,formdef,pagedef,page_count,sheet_count
5124026950,#7016430,TR05023590,,*,F1T357,P1T357,1,3
5124026951,#7016430,TR05023590,,*,F1T358,P1T358,1,3
5124026952,DC10310J,41P800\#\#\#\#,STD,P,F1DOC3,P1DOC3,6009,6011
5124026953,#8552524,TR05011890,,*,F1T055,P1T055,13269,13271
5124026954,#8552524,TR05011890,,*,F1T056,P1T056,17274,8637
5124026955,KDWP417F,D7C4810001,STD,P,F1KIN99A,P1KIN99A,108,54
5124026956,KDWP417A,D7C4810001,STD,P,F1KIN99A,P1KIN99A,1158,579
5124026957,KDWPC755,D7C4810001,STD,P,F1K0881F,P1K0881F,522,261
5124026958,KDMPC826,D7C4810001,STD,P,F1KID69F,P1KID69F,14098,7049
5124026959,KDMP629A,D7C4810001,STD,P,F1KID70F,P1KID70F,6396,3198
5124026960,JE1114P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,1174,589
5124026961,JE1117P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,384,386
5124026962,JE1118P3,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,78,80
5124026963,JE1118P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,275,277
5124026964,JE1118P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,845,847
5124026965,JE1124P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,5,7
5124026966,KDDPCW01,D7C4810001,STD,P,F1K00860,P1K00860,135,137
5124026967,#8552536,TR05011890,,*,F1T058,P1T058,7001,7003
5124026968,#8552537,TR05011890,ZY92,C,F1Q50010,P10037,877,879
5124026969,DCPAY50J,41P800\#\#\#\#,STD3,P,F1@DFLT,P1@DFLT,1,3
5124026970,DCPAY51J,41P800\#\#\#\#,STD3,P,F1@DFLT,P1@DFLT,31,17
5124026971,PW20134J,H8B0139006,FAN0,P,DUMMY,P1@DFLT,111,57
5124026972,JK0281P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2,4
5124026973,JK0236P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,1,3
5124026974,JE1064P5,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,3,5
5124026975,JE1064P3,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,3,5
5124026976,JE1064P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,40,22
5124026977,JE1064P4,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,18,11
5124026978,JE1064P6,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,950,477
5124026979,JE1095P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,5,7
5124026980,JE1095P3,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,17,19
5124026981,JE1095P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2,4
5124026982,JE1095P4,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2,4
5124026983,JK0810P4,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,102,53
5124026984,JK0810P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,198,101
5124026985,JK0810P3,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,92,48
5124026986,JK0233P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,827,829
5124026987,JE1088P2,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,3,8
5124026988,JE1088P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,5,7
5124026989,JE1089P5,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,9,20
5124026990,JE1089P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,9,11
5124026991,JE1089P4,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,6,8
5124026992,JE1127P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,3,5
5124026993,JE1065P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,1,3
5124026994,JE1083P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,10,12
